City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,levelland,33.5873,-102.378,295.48,25,0,8.23,US,1699459609
111,udachny,66.4167,112.4,250.63,94,6,2.49,RU,1699459609
112,yanchep,-31.55,115.6833,293.68,82,14,4.94,AU,1699459610
113,port mathurin,-19.6833,63.4167,298.41,75,100,6.57,MU,1699459610
114,colonia,50.9333,6.95,284.8,67,0,5.66,DE,1699459610
115,grand falls-windsor,48.9332,-55.6649,278.99,92,100,1.79,CA,1699459611
116,argo,37.6333,22.7333,293.59,52,17,0.52,GR,1699459611
117,cidreira,-30.1811,-50.2056,297.5,67,100,1.33,BR,1699459365
118,alofi,-19.0595,-169.9187,298.08,80,78,5.52,NU,1699459612
119,miquelon,47.0975,-56.3814,282.15,95,100,6.74,PM,1699459613
120,nemuro,43.3236,145.575,281.81,58,88,1.78,JP,1699459613
121,dwarka,22.2394,68.9678,301.4,58,8,4.43,IN,1699459614
122,lospalos,-8.5186,127.0025,294.33,92,5,0.78,TL,1699459615
123,upper sandusky,40.8273,-83.2813,283.94,64,100,6.32,US,1699459615
124,tual,-5.6667,132.75,300.36,79,91,6.11,ID,1699459551
125,salekhard,66.53,66.6019,270.6,99,100,2.3,RU,1699459615
126,prado,-17.3411,-39.2208,300.05,49,5,5.24,BR,1699459616
127,wailua homesteads,22.0669,-159.378,296.9,90,40,5.66,US,1699459616
128,floro,61.5996,5.0328,280.13,70,20,3.09,NO,1699459617
129,assab,13.0092,42.7394,302.09,68,96,9.91,ER,1699459618
130,tomatlan,19.9333,-105.25,302.65,69,7,0.5,MX,1699459619
131,san patricio,28.017,-97.5169,301.12,65,79,5.79,US,1699459619
132,shimoda,34.6667,138.95,288.21,79,25,3.7,JP,1699459619
133,feres,40.8956,26.17,292.84,83,20,3.6,GR,1699459620
134,higuera de zaragoza,25.95,-109.2833,299.11,55,96,2.12,MX,1699459621
135,kone,-21.0595,164.8658,292.49,76,52,2.43,NC,1699459621
136,petropavlovsk-kamchatsky,53.0452,158.6483,269.51,73,75,9.39,RU,1699459621
137,nema,57.5067,50.5011,278.29,93,100,2.67,RU,1699459622
138,tokar,18.4254,37.729,302.97,64,40,5.43,SD,1699459624
139,tolanaro,-25.0319,46.9987,296.09,87,100,5.94,MG,1699459624
140,hamilton,39.1834,-84.5333,293.65,64,75,6.69,US,1699459487
141,balchik,43.4167,28.1667,288.46,78,70,1.79,BG,1699459625
142,farsan,32.2569,50.561,283.17,38,0,1.37,IR,1699459625
143,belen,36.4891,36.2233,292.23,55,0,3.09,TR,1699459626
144,calca,-13.3333,-71.95,293.79,40,73,4.0,PE,1699459626
145,selfoss,63.9331,-20.9971,276.29,54,57,7.42,IS,1699459627
146,vadso,70.0744,29.7487,271.64,80,75,5.14,NO,1699459627
147,todos santos,23.45,-110.2167,298.4,78,97,2.15,MX,1699459628
148,betio village,1.358,172.9211,301.83,73,93,0.54,KI,1699459629
149,fort bragg,35.139,-79.006,297.95,50,0,1.54,US,1699459629
150,lihue,21.9789,-159.3672,297.24,88,40,5.66,US,1699459630
151,qaqortoq,60.7167,-46.0333,274.84,81,100,2.22,GL,1699459630
152,turpan,42.9333,89.1667,280.88,21,12,0.06,CN,1699459631
153,malayer,34.2969,48.8235,286.88,39,0,1.61,IR,1699459632
154,worthing,50.8145,-0.3713,285.62,97,75,3.6,GB,1699459633
155,mahdia,35.5047,11.0622,294.12,55,21,9.74,TN,1699459634
156,bloomfield,40.8068,-74.1854,283.03,45,0,6.69,US,1699459416
157,richards bay,-28.783,32.0377,293.16,79,60,3.21,ZA,1699459635
158,hasaki,35.7333,140.8333,286.37,61,0,4.61,JP,1699459636
159,sur,22.5667,59.5289,300.14,67,42,2.26,OM,1699459636
160,sitka,57.0531,-135.33,283.09,71,100,7.2,US,1699459637
161,ulladulla,-35.35,150.4667,288.58,83,36,2.65,AU,1699459637
162,remire-montjoly,4.9167,-52.2667,305.17,58,75,5.14,GF,1699459638
163,hami,42.8,93.45,278.16,29,93,2.81,CN,1699459639
164,papatowai,-46.5619,169.4708,281.34,88,99,2.93,NZ,1699459639
165,grimstad,58.3405,8.5934,276.1,87,91,3.68,NO,1699459640
166,amahai,-3.3333,128.9167,298.81,88,80,0.55,ID,1699459641
167,visakhapatnam,17.69,83.2093,299.09,89,40,1.03,IN,1699459642
168,omdurman,15.6445,32.4777,308.07,22,5,3.38,SD,1699459642
169,ariquemes,-9.9133,-63.0408,306.57,48,99,0.76,BR,1699459546
170,baruun-urt,46.6806,113.2792,255.26,91,49,4.56,MN,1699459643
171,newnham,-41.3833,147.1333,288.62,100,99,2.57,AU,1699459644
172,la passe,45.5549,-0.8967,288.28,74,96,8.42,FR,1699459645
173,port-vila,-17.7338,168.3219,294.93,88,75,3.09,VU,1699459645
174,naze,28.3667,129.4833,294.47,67,92,4.8,JP,1699459646
175,north bend,43.4065,-124.2243,279.77,100,40,0.0,US,1699459646
176,christchurch,-43.5333,172.6333,282.54,83,75,2.57,NZ,1699459205
177,amos,48.5669,-78.1162,268.8,71,39,2.24,CA,1699459385
178,viedma,-40.8135,-62.9967,292.28,27,0,9.77,AR,1699459649
179,kavieng,-2.5744,150.7967,301.65,78,99,7.81,PG,1699459649
180,chibougamau,49.9168,-74.3659,263.94,79,20,2.57,CA,1699459376
181,santa elena de uairen,4.6167,-61.1333,302.54,47,99,1.37,VE,1699459650
182,fort st. john,56.2499,-120.8529,271.09,69,20,6.69,CA,1699459379
183,whitehorse,60.7161,-135.0538,272.21,80,99,10.28,CA,1699459650
184,namibe,-15.1961,12.1522,294.76,71,2,5.45,AO,1699459651
185,hawaiian paradise park,19.5933,-154.9731,294.28,81,0,4.12,US,1699459651
186,daru,-9.0763,143.2092,298.09,86,65,4.65,PG,1699459652
187,laojunmiao,39.8333,97.7333,273.98,34,0,0.51,CN,1699459652
188,kangding,30.0513,101.9603,280.73,90,100,1.68,CN,1699459652
189,sechura,-5.5569,-80.8222,298.62,58,5,4.63,PE,1699459652
190,boende,-0.2167,20.8667,301.07,73,95,0.55,CD,1699459656
191,ugoofaaru,5.6667,73.0,301.23,73,83,0.82,MV,1699459658
192,longyearbyen,78.2186,15.6401,269.06,68,75,3.6,SJ,1699459658
193,kill devil hills,36.0307,-75.676,292.16,65,0,4.12,US,1699459658
194,guerrero negro,27.9769,-114.0611,293.75,60,11,7.44,MX,1699459666
195,saldanha,-33.0117,17.9442,288.86,70,0,9.94,ZA,1699459666
196,northam,51.0333,-4.2167,284.05,72,100,5.17,GB,1699459666
197,sal rei,16.1833,-22.9167,298.59,67,73,9.44,CV,1699459666
198,la sarre,48.8002,-79.1996,268.18,78,91,2.09,CA,1699459667
199,woodward,36.4337,-99.3904,286.72,87,100,6.69,US,1699459390
200,sultanah,24.4926,39.5857,304.4,16,20,3.09,SA,1699459667
201,kuantan,3.8077,103.326,298.88,88,99,0.89,MY,1699459667
202,yuzhno-kurilsk,44.0306,145.8556,279.47,66,9,0.88,RU,1699459668
203,arroyo seco,-33.1549,-60.5086,300.31,10,2,4.37,AR,1699459668
204,pangai,-19.8,-174.35,297.71,80,97,3.46,TO,1699459669
